burst_size	close_chance	degrade_chance	freq_adj0	loss_chance	mean_occupancy	open_chance	size_adj0	size_cov	switching_rate	transcribe_chance
0.01	100.0	0.123	2.2449578325645092e-05	0.0	1.999960000799984e-05	0.002	1.009237254033697	0.095671213053487	0.00999980000399992	1.0
0.05848035476425731	100.0	0.123	0.00012570837878023156	0.0	1.999960000799984e-05	0.002	1.0540160747892269	0.22639885689592346	0.00999980000399992	5.848035476425731
0.3419951893353393	100.0	0.123	0.0005888912963515347	0.0	1.999960000799984e-05	0.002	1.3157892162782687	0.49009188873522447	0.00999980000399992	34.19951893353393
1.9999999999999982	100.0	0.123	0.0015925015375375384	0.0	1.999960000799984e-05	0.002	2.84545418004714	0.806216466547204	0.00999980000399992	199.99999999999983
0.01	100.0	0.123	0.00040507466967076855	0.0	0.0003609337585490739	0.036106407876409924	1.0094241601234377	0.09662485542268821	0.00999639066241451	1.0
0.05848035476425731	100.0	0.123	0.0022663184548789017	0.0	0.0003609337585490739	0.036106407876409924	1.0551102569690842	0.2285556124215641	0.00999639066241451	5.848035476425731
0.3419951893353393	100.0	0.123	0.010576103154443572	0.0	0.0003609337585490739	0.036106407876409924	1.322218108371288	0.49378795511467855	0.00999639066241451	34.19951893353393
1.9999999999999982	100.0	0.123	0.028361509376168992	0.0	0.0003609337585490739	0.036106407876409924	2.8834301644274936	0.808811701279416	0.00999639066241451	199.99999999999983
0.01	100.0	0.123	0.0298183659003195	0.0	0.026949523201779367	2.769591490305372	1.024085804535355	0.15285621999637067	0.009730504767982207	1.0
0.05848035476425731	100.0	0.123	0.15623915288800716	0.0	0.026949523201779367	2.769591490305372	1.1429844152991195	0.34722076687860565	0.009730504767982207	5.848035476425731
0.3419951893353393	100.0	0.123	0.5519874614428693	0.0	0.026949523201779367	2.769591490305372	1.8919557305157013	0.6296512488150144	0.009730504767982207	34.19951893353393
1.9999999999999982	100.0	0.123	0.8891446472027579	0.0	0.026949523201779367	2.769591490305372	6.868750844764364	0.7373036957783192	0.009730504767982207	199.99999999999983
0.01	100.0	0.123	0.3141013104386364	0.0	0.33333333333333287	49.99999999999989	1.205281223034746	0.38808938578799335	0.006666666666666671	1.0
0.05848035476425731	100.0	0.123	0.8848258040915433	0.0	0.33333333333333287	49.99999999999989	2.5021328124615008	0.5511129613753718	0.006666666666666671	5.848035476425731
0.3419951893353393	100.0	0.123	0.9999871142434031	0.0	0.33333333333333287	49.99999999999989	12.947434791951084	0.314590749124236	0.006666666666666671	34.19951893353393
1.9999999999999982	100.0	0.123	0.9999999999999999	0.0	0.33333333333333287	49.99999999999989	75.71608232045914	0.1869555100524043	0.006666666666666671	199.99999999999983
0.01	100.0	0.123	9.537663642733563e-05	0.0	8.497090343041714e-05	0.00849781240983936	1.0092728703057046	0.09585371497064128	0.009999150290965696	1.0
0.05848035476425731	100.0	0.123	0.0005339830651610589	0.0	8.497090343041714e-05	0.00849781240983936	1.0542245279383482	0.2268119283089779	0.009999150290965696	5.848035476425731
0.3419951893353393	100.0	0.123	0.0024996583417872253	0.0	8.497090343041714e-05	0.00849781240983936	1.3170126500751338	0.4908028077752909	0.009999150290965696	34.19951893353393
1.9999999999999982	100.0	0.123	0.006748852638771785	0.0	8.497090343041714e-05	0.00849781240983936	2.852664201144538	0.8067266796434912	0.009999150290965696	199.99999999999983
0.01	100.0	0.123	0.0017180308649213938	0.0	0.001531777462850829	0.15341274046343897	1.0100662479365239	0.09982712751441324	0.009984682225371492	1.0
0.05848035476425731	100.0	0.123	0.009583992317308998	0.0	0.001531777462850829	0.15341274046343897	1.0588741900186145	0.2357668041968164	0.009984682225371492	5.848035476425731
0.3419951893353393	100.0	0.123	0.04414191993919836	0.0	0.001531777462850829	0.15341274046343897	1.3444653045991095	0.5058592407757329	0.009984682225371492	34.19951893353393
1.9999999999999982	100.0	0.123	0.11505489138317204	0.0	0.001531777462850829	0.15341274046343897	3.016516670796842	0.8162683350548725	0.009984682225371492	199.99999999999983
0.01	100.0	0.123	0.007244403985790404	0.0	0.006476149552159348	0.6518363448688383	1.0127813298680146	0.11229629890951437	0.009935238504478406	1.0
0.05848035476425731	100.0	0.123	0.039918107087796195	0.0	0.006476149552159348	0.6518363448688383	1.0748761020509396	0.26337196251997896	0.009935238504478406	5.848035476425731
0.3419951893353393	100.0	0.123	0.17409344205853494	0.0	0.006476149552159348	0.6518363448688383	1.4413051311211929	0.5478508050368013	0.009935238504478406	34.19951893353393
1.9999999999999982	100.0	0.123	0.4048991216188096	0.0	0.006476149552159348	0.6518363448688383	3.624111148226851	0.8283081382223719	0.009935238504478406	199.99999999999983
0.01	100.0	0.123	0.111744159794957	0.0	0.10528740270380972	11.767734468251241	1.0682657180997148	0.24836495388174096	0.008947125972961904	1.0
0.05848035476425731	100.0	0.123	0.4877911908906468	0.0	0.10528740270380972	11.767734468251241	1.4311335780747139	0.4969626032608954	0.008947125972961904	5.848035476425731
0.3419951893353393	100.0	0.123	0.960946759870619	0.0	0.10528740270380972	11.767734468251241	4.24839409325591	0.5615908279259516	0.008947125972961904	34.19951893353393
1.9999999999999982	100.0	0.123	0.9999029712005416	0.0	0.10528740270380972	11.767734468251241	23.87680775935356	0.4070202103191431	0.008947125972961904	199.99999999999983
